Datetime,Symbol,Open,High,Low,Close
2021-07-01 00:00:00,DOGE,0.2539016907,0.2539827352,0.2534998801,0.2536764235
2021-07-01 00:01:00,DOGE,0.253677753,0.2537635795,0.2533091702,0.2533410495
2021-07-01 00:02:00,DOGE,0.2533318157,0.2533318157,0.2528430473,0.2529444139
2021-07-01 00:03:00,DOGE,0.2529576416,0.2531168639,0.252870266,0.2529130625
2021-07-01 00:04:00,DOGE,0.2529585406,0.2533033358,0.2529585406,0.2530703441
2021-07-01 00:05:00,DOGE,0.2530402803,0.2530402803,0.2525905071,0.2526952454
2021-07-01 00:06:00,DOGE,0.2525884133,0.2527822927,0.2522287507,0.2523050518
2021-07-01 00:07:00,DOGE,0.2522977702,0.2525891717,0.2522243788,0.2523072478
2021-07-01 00:08:00,DOGE,0.2523297955,0.2524239387,0.2519628462,0.2523902157
2021-07-01 00:09:00,DOGE,0.2523419967,0.2523800135,0.2511140723,0.2512195062
2021-07-01 00:10:00,DOGE,0.251199223,0.2516417575,0.2511253048,0.2514558652
2021-07-01 00:11:00,DOGE,0.2514593011,0.2515606051,0.2513158566,0.2513942897
2021-07-01 00:12:00,DOGE,0.2514017851,0.2515501283,0.2507836963,0.2507836963
2021-07-01 00:13:00,DOGE,0.2509006151,0.251182743,0.2509006151,0.2511296319
2021-07-01 00:14:00,DOGE,0.2509975075,0.2514684398,0.2508216612,0.2511964732
2021-07-01 00:15:00,DOGE,0.2512509079,0.2518778517,0.2512509079,0.2517527565
2021-07-01 00:16:00,DOGE,0.2512509079,0.2518778517,0.2512509079,0.2517527565
2021-07-01 00:17:00,DOGE,0.2512509079,0.2518778517,0.2512509079,0.2517527565
2021-07-01 00:18:00,DOGE,0.2512509079,0.2518778517,0.2512509079,0.2517527565
2021-07-01 00:19:00,DOGE,0.2512509079,0.2518778517,0.2512509079,0.2517527565
2021-07-01 00:20:00,DOGE,0.2512509079,0.2518778517,0.2512509079,0.2517527565
2021-07-01 00:21:00,DOGE,0.2517624412,0.2520983605,0.2517624412,0.2520815055
2021-07-01 00:22:00,DOGE,0.2517903023,0.2519512309,0.2515230963,0.2518436811
2021-07-01 00:23:00,DOGE,0.2519129075,0.2519212803,0.2517014984,0.2517438542
2021-07-01 00:24:00,DOGE,0.2517444365,0.2517831198,0.2510485065,0.2513662837
2021-07-01 00:25:00,DOGE,0.2514130056,0.2514215248,0.2507801398,0.250904609
2021-07-01 00:26:00,DOGE,0.2509541521,0.2512549683,0.2507585012,0.2511263368
2021-07-01 00:27:00,DOGE,0.2511809243,0.2511970461,0.2508668124,0.2511326603
2021-07-01 00:28:00,DOGE,0.2511381276,0.2513255514,0.2510365622,0.2513255165
2021-07-01 00:29:00,DOGE,0.2513090661,0.2514228758,0.2511981045,0.2513813776
